Technology;Sensor name;Marque;Detailed;Datasheet URL;Range;Absolute accuracy;Relative accuracy;Sensitivity;Response Time;Dimensions;;Associated instruments;Instrument URL;Maximum depth;Validation URL;Cost;Stability;Mechanical integration;Electronical integration ;Digital/analog
- Thermistance?;TSYS01;TE Connectivity;TSYS digital temperature sensor. It includes a temperature sensing chip and a 24-bit ΔΣ-ADC. ;https://www.te.com/en/product-G-NICO-018.html;-5°C - 50°C;0.1°C;;0.01°C (for 3.3V);1 second (with 0.5 m/s flow) and 2 seconds (in still water).;4x4x0.85 mm;;Blue robotics Temperature Sensor (I2C);https://bluerobotics.com/store/sensors-cameras/sensors/celsius-sensor-r1/;975 m ;-;;;;;Digital
Thermistor;TS-V1;- ;Wang, B., Cai, H., Jia, Q., Pan, H., Li, B., & Fu, L. (2023). Smart Temperature Sensor Design and High-Density Water Temperature Monitoring in Estuarine and Coastal Areas. Sensors, 23(17), 7659. ;https://doi.org/10.3390/s23177659;-10-65°C;0.1°C;±0.08 °C (26-35°C);0.91 s/°C;-;Height = 53.5 mm ;;;;Maximum deployment  :10 m ;https://doi.org/10.3390/s23177659;;;;;
